Blood Bank Name,Address,City,State,Contact ,Helpline
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"Veer Savarkar Road, Mahim (W), Mumbai",Mumbai,Maharashtra,"022 24447308, 022 24447309, 022 24447310",1
Meenatai Thackeray Blood Bank - Siddharth Hospital,"Siddharth Nagar, Prabhodhan Kridabhawan Marg,
Goregaon (W)",Mumbai,Maharashtra,"022 28797586, 022 28797587, 022 28722929                     ",1
Prince Aly Khan Hospital Blood Bank,"Aga Hall, Nesbit Road, Mazgaon, Mumbai ",Mumbai,Maharashtra,"022 23777934, 022 23777936, 022 23777800, 022 23777907, 022 23777908",1
Dr. R. N. Cooper General Hospital Blood Bank,"North south Road No-1, Juhu, Vile-Parle (W) Mumbai",Mumbai,Maharashtra,"022 26242609, 022 26247254, 022 26247255, 022 26247256 (Extn. 201, 203)",1
Rajawadi Blood Bank - Seth V. C. Gandhi & M. A. Vora Municipal General Hospital,"Seth V. C. Gandhi and M. A. Vora M, Rajawadi, Ghatkopar-(E), Mumbai",Mumbai,Maharashtra,"022 21025611 (Extn. 141, 122)",1
S. L. Raheja Hospital Blood Bank,"Mahim, Raheja Rugnalaya Marg, Mumbai",Mumbai,Maharashtra,"022 24445528, 022 66529682, 022 24449418",1
S. R. Mehta and Sir. K.P. Cardiac Institute Blood Bank,"Plot No. 96, Road No.31, King Circle Sion, (E) Mumbai  ",Mumbai,Maharashtra,"022 24035454, 022 2409 4732",1
Saifee Hospital Trust Blood Bank,"15/17, Maharishi Karve Marg, Opposite to Charni Road Station Mumbai",Mumbai,Maharashtra,022 67571140,1
Sarvodaya Hospital Samarpan Blood Bank,"Office Building, 2nd Floor, Sarvodaya Hospital, LBS  Marg, Ghatkopar (W), Mumbai",Mumbai,Maharashtra,"022 25102511, 022 25100100",1
Seven Hills Health Care Private Limited Hospital Blood Bank,"Blood Bank, 2nd Floor, Block-16, Seven Hills Hospital,  Survey No.155, 156, 162 - 168 Part, Marol - Maroshi Road,  
Andheri (E), Mumbai ",Mumbai,Maharashtra,022 67676719,1
Shushrusha Citizens Co-operative Hospital Blood Bank,"698-B Ranade Road, Dadar, Mumbai",Mumbai,Maharashtra,"022 24469579, 022 25288698",1
Sir J.J.Group of Hospital Blood Bank,"Main Building, Ground Floor, Sir J. J. Hospital, Byculla, Mumbai",Mumbai,Maharashtra,"022 23735555, 022 23739400 (Extn. 2248, 2238)",1
Sir J.J.Mahanagar Rakthapedhi,"Sir J.J Mahanagar Raktapedhi, F. D. Petit Building, J.J.Campus, J. J. Road, Byculla, Mumbai ",Mumbai,Maharashtra,"022 23735585, 022 23733531",1
Saint George&#39;s Hospital & Regional  Blood Bank,"Saint George&#39;s Hospital, Behind General Post Office, 
P. D&#39;Mello Road, Fort, Mumbai",Mumbai,Maharashtra,"022 22621420, 022 22620242 (Extn.1431)  ",1
Tata Memorial Hospital Blood Bank,"5th Floor, Service Block, Dr. E. Borges Road, Parel, Mumbai ",Mumbai,Maharashtra,"022 24177000, 022 24127096 (Extn. 4682, 4684)",1
The B.D. Petit Parsee General Hospital Blood Bank,"B.Petit Road, Cumballa Hill,  Mumbai",Mumbai,Maharashtra,"022 61186190, 022 61186192, 022 61186333",1
V. N. Desai Municipal General Hospital Blood Bank,"T. P. S. II, 11th Road, Santacruz (E) Mumbai",Mumbai,Maharashtra,"022 26182081, 022 357022, 022 26151506 (Extn.356, 357)",1
West Coast Blood Bank,"Basement 101, Moon Building, 798, Mori Road, Mahim(W), Mumbai",Mumbai,Maharashtra,022 24444544 ,1
M/s. Balasaheb Thackerey Blood Bank,Mumbai,Mumbai,Maharashtra,,1
M/s. Pallavi Blood Bank,Mumbai,Mumbai,Maharashtra,,1
"ESI-PGIMSR, MGM Hospital Blood Bank",Mumbai,Mumbai,Maharashtra,,1
M/s Sion Blood Bank,Mumbai,Mumbai,Maharashtra,,1
Harkisandas  Marottamdas Hospital Blood Bank,Mumbai,Mumbai,Maharashtra,,1
Government Medical College Blood Bank Nagpur,"Model Blood Bank, 2nd Floor, Hospital Building, Government Medical College & Hospital, Nagpur  ",Nagpur,Maharashtra,0712 2744695,1
Super Speciality Hospital and Medical Post Graduate Institute Blood Bank,"Maenad Road, Near RST Cancer Hospital, Nagpur",Nagpur,Maharashtra,"0712 2703501, 0712 2746682",1
Indira Gandhi Medical College and Hospital Blood Bank,"IGMC Hospital, Central Avenue Road, Nagpur ",Nagpur,Maharashtra,"07122820134,0712 2728621, 0712 2774766",1
Daga Memorial Women Government Hospital Blood Bank,"Gandhibag, Nagpur",Nagpur,Maharashtra,"0712 2729202, 0712 2729333 ",1
Central India Institute of Haematology & Oncology&#39;s Blood & Blood Component Bank and Apheresis Unit,"Plot No-14/2, Park Corner, Bal Raj Marg, Near Loma Square, Dhantoli, Nagpur",Nagpur,Maharashtra,"0712 2430038 , 0712 2428972 , 0712 6464198",1
Jeevan Jyoti Blood Bank and Component,"J P Chamber, Madhav Nagar, Dakshin Ambakshari Road  Nagpur",Nagpur,Maharashtra,"0712 2231660,  0712 2230876",1
Dr. Hegdewar Blood Bank,"2, Sitaram Smruti, West High Court Road, Laxmibhuvan Square, Audumbar Apartment, Dharmpeth, Nagpur ",Nagpur,Maharashtra,"0712 2528292, 0712 2538900, 09922407171, 09881000203",1
Sainath Blood Bank,"531,Jaiswal Building, Above R.K. Traders, Old shukrawari Road, Sakkardara Nagpur",Nagpur,Maharashtra,9422502066,1
Ayush Blood Bank and component Lab,"9th Floor, A wing, 901-905, 910-912, Lokmat Building, Nagpur",Nagpur,Maharashtra,"0712 6618666, 0712 5631137     ",1
Lifeline Blood Bank Components and Apherisis Centre Blood Bank,"Neeti Gaurav complex , 2nd Floor, Central Bazar Road, Lokmat Square, Ramdaspeth, Nagpur ",Nagpur,Maharashtra,"0712 6686666, 0712 6686665",1
Rainbow Blood Bank,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur",Nagpur,Maharashtra,0712 6636666,1
"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank","5, YMCA Complex, Digdoh Hills, Hingna Road, Nagpur",Nagpur,Maharashtra,"07104 236290, 07104 236291, 07104 232905",1
Nandkishor Education Society Trust - Arpan Voluntary Blood Bank,Nagpur,Nagpur,Maharashtra,,1
Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank,"Vazirabad, Nanded ",Nanded,Maharashtra,"02462 235711, 02462 235712, 02462 234702",1
Indian Red Cross Society Blood Bank,"Parsi Anjuman Complex, Vazirabad, Nanded      ",Nanded,Maharashtra,"02462 236699, 02462 231012, 02462 236633, 02462 227335",1
Golvalkar Guruji Blood Bank,"Plot No.2-12-407, Bandhaghat Road, Vazirabad, Nanded",Nanded,Maharashtra,02462 243300,1
Arpan Blood Bank,"2nd Floor, Dayma Complex, Doctor Lane, Ghamodia,Nanded",Nanded,Maharashtra,"02462 241587, 02452 239587",1
Guru Gobindsinghji Blood Bank,"Geeta Bhavan 1 & 2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded          ",Nanded,Maharashtra,02462 233332,1
Nanded Blood Bank,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded ",Nanded,Maharashtra,02462 233810,1
Hazur Saheb Blood Bank,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded ",Nanded,Maharashtra,"02462 248888, 02462 239999",1
Civil Surgeon - District General Hospital Blood Bank,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar  ",Nandurbar,Maharashtra,"02564 202510, 02564 210135, 02564 226225, 02564 210122",1
Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey 
No. 67/3, Plot No. 3, Sahada, Nandurbar",Nandurbar,Maharashtra,,1
Jankalyan Rakta Pedhi,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ",Nandurbar,Maharashtra,"02564 226934, 02564 226935, 02564 222226 ",1
Malegaon Blood Bank,"2nd Floor, West End Complex, Satana Naka, Malegaon ",Malegaon,Maharashtra,,1
Seva Blood Bank,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",MALEGAON,Maharashtra,02554 257077,1
Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,"Vadner Road, Devlali, Nashik",Nashik,Maharashtra,"0253 2493365, 0253 24913377,  0253 2462068",1
Metro Blood Bank - District (Civil) Hospital Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik",Nashik,Maharashtra,"0253 2318020, 0253 2577949",1
Sainik Aspatal Military Hospital Blood Bank,"Sainik Aspatal, Military Hospital, Deolali",Nashik,Maharashtra,,1
Ansar Blood Bank,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik",Nashik,Maharashtra,"02554 238383, 02554 230169, 02254 230039",1
Arpan Blood Bank and Blood Component Laboratory and Research Centre,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik 
",Nashik,Maharashtra,"0253 2311358, 0253 2576058",1
Jankalyan Blood Bank,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
",Nashik,Maharashtra,"0253 2573493, 0253 2575249",1
NDMVPS Medical College and Hospital Blood Bank,At Post Adgaon Dist Nashik ,Nashik,Maharashtra,"0253 2220522, 0253 2303930",1
Samta Blood Bank,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
",Nashik,Maharashtra,"0253 2472499, 0253 2472599, 0253 2472699, 09975997867, 09975997863, 09975997864",1
Sanjeevani Blood Bank,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik ",Nashik,Maharashtra,0253 2411888  ,1
Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik ",Nashik,Maharashtra,0253 2232996,1
The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1 & 567/1/3 (CTS No. 7249 & FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik 
",Nashik,Maharashtra,7387348888,1
SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, A Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik
",Nashik,Maharashtra,02553 222300,1
Hindustan Aeronautics Limited Blood Bank,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik
",Nashik,Maharashtra,"02550 275845, 02550 278932 (Extn. 2589)",1
J.D.C. Bytco Hospital Blood Bank,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik",Nashik,Maharashtra,"0253 2460251, 0253 24605352",1
Regional Referal Hospital Blood Bank,"Medical Superintendent, Regional Referal Hospital (Superspeciality Hospital) Blood Bank, Nashik",Nashik,Maharashtra,,1
Shri Krishna Blood Bank,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ",Omerga,Maharashtra,"02457 252004, 02457 252232, 02457 252469",1
"Civil Surgeon, General Hospital Blood Bank","Civil Hospital Osmanabad, Tqand, Osmanabad ",Osmanabad,Maharashtra,02472 226924,1
Civil Surgeon - District General Hospital Blood Bank,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
",Parbhani,Maharashtra,"02452 223458, 02452 231287",1
Kanthak Sevabhavi Sanstha - New Life Blood  Bank,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ",Parbhani,Maharashtra,02452 220222,1
Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",Baramati,Maharashtra,02112 222951,1
Pune Chest and General Hospital Blood Bank,"Aundh Cest Hospital, Aundh Camp, Pune",Pune,Maharashtra,"020 27285432, 020 27286458",1
Sasoon Sarvopchar Hospital Blood Bank,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune",Pune,Maharashtra,"020 26126868, 020 24480431",1
Armed Forces Blood Bank,"Vanwadi Armed Force Medical College, Pune",Pune,Maharashtra,"020 26026038, 020 26306337",1
Jankalyan Raktapedhi Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune",Pune,Maharashtra,"020 24449527, 020 24444502",1
Inlaks Budharani Hospital Blood Bank,"7-9, Koregaon Park, Pune",Pune,Maharashtra,"020 66099999, 020 66099727, 020 66099703",1
Indian Serological Institute Blood Bank,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune",Pune,Maharashtra,"020 24535244, 020 24538453",1
Acharya Anandrushiji Blood Bank,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune",Pune,Maharashtra,"020 24537627, 020 65250707, 020 24531600",1
Akshay Blood Bank,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune",Pune,Maharashtra,"020 26993247, 020 26993248,  ",1
Garware Blood Bank - Talegaon Rural Hospital,"Talegaon Dhabhade, Maval, Pune ",Pune,Maharashtra,"02114 223916, 02114 308399",1
Jehangir Hospital Blood Bank,"32, Sasoon Road, Pune ",Pune,Maharashtra,"020 66811722, 020 66811723,",1
KEM Hospital Blood Bank,"Sardar Moodliar Road, Rastha Peth, Pune",Pune,Maharashtra,"020 26125600, 020 66037324, 020 26125603",1
Grant Medical Foundation A.H. Wadia Trust Blood Bank,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune",Pune,Maharashtra,"020 26166318, 020 66455264, 020 26163391",1
Bharati Vidyapeeth Medical Foundation Blood Bank,"Sector - 28, Dhankawadi, Pune Satara Road, Pune",Pune,Maharashtra,"020 40555555, 020 24379432",1
Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune",Pune,Maharashtra,"020 27423844, 020 27420439",1
Deenanath Mangeshkar Hospital Blood Bank,"Erandawane, Near Mhatre Bridge, Pune",Pune,Maharashtra,"020 26602307, 020 26602308, 020 26602313, 020 25420104",1
Poona Serological Institute Blood Bank,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune",Pune,Maharashtra,"020 26133387, 020 26141719, 020 27472876                     ",1
Sahiyadari Speciality Hospital Blood Bank,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ",Pune,Maharashtra,"020 25403232, 020 67213000",1
Aditya Birla Memorial Hospital Blood Bank,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ",Pune,Maharashtra,"020 30717690, 020 30717676",1
Rakesh Jain Memorial Blood Bank,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ",Pune,Maharashtra,"020 24331706, 020 66069000, 020 24338477",1
Noble Hospital Blood Bank,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ",Pune,Maharashtra,"020 66285050, 020 66285199",1
Smt Kashibai Navale General Hospital Blood Bank,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ",Pune,Maharashtra,"020 241062299, 020 24699884, 020 24106274",1
Pimpari Serological Institute Blood Bank,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ",Pune,Maharashtra,"020 27421179, 020 27427779",1
Chakan Blood Bank,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune ",Pune,Maharashtra,02135 202141,1
R.G Gholap Memorial Blood Bank,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune",Pune,Maharashtra,"020 65402140, 9822442140, 8554942140",1
Kranti Mitra Mandal Charitable Trust Blood Bank,"1st Floor PMT Buiding Gadital, Hadapsar, Pune ",Pune,Maharashtra,"020 26992828, 020 64782828, 020 26993703",1
Krantiveer Chapekar Bandhu Blood Bank,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune  ",Pune,Maharashtra,"020 27610054, 020 27610042",1
The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune",Pune,Maharashtra,020 46608585,1
Ekta Apang Vikas Sanstha Blood Bank,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",Pune,Maharashtra,020 26855144,1
Chattrapati Shahu Maharaj Pratisthan,"S.No. 30, 4th floor, office no. 41, 402, 403, and 5th floor off 502, waris Heights, Pune-Satara Road, Dhankwadi, Pune",Pune,Maharashtra,,1
Chattrapati Shahu Maharaj Pratisthan Blood Bank,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune",Pune,Maharashtra,020 65267000,1
M/s. Vidyashree Charitable Trusts Om Blood Bank,Pune,Pune,Maharashtra,,1
District Civil Surgeon Blood Bank,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ",Alibag,Maharashtra,02141 225734,1
Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad",Mahad,Maharashtra,"02145 222604, 02145 225103, 02145 224807 ",1
M.B. More Foundation Blood Bank,"Ghar. No. 412, 1st Floor, Mangaon, Morba Road, Opposite to Civil Hospital, Mangaon, Raigad
",Mangaon,Maharashtra,,1
Advanced Centre for Treatment Reasearch and Education in Cancer,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ",Navi Mumbai,Maharashtra,022 27405073,1
M/s. Navi Mumbai Blood Bank,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai",Navi Mumbai,Maharashtra,,1
Shree Sai Blood Bank & Component,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad",Panvel,Maharashtra,"022 27467856, 022 27450885, 022 27463796",1
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ",Raigad,Maharashtra,"022 27459322, 022 32092960",1
Civil Surgeon - General Hospital Blood Bank,"Civil Hospital, Ratnagiri",Ratnagiri,Maharashtra,02352 225616,1
Shree Swami Samarth Blood Bank,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri",Ratnagiri,Maharashtra,"02355 264137, 02355 264149, 02355 264181            ",1
Indian Red Cross Society Blood Bank,"Khareghat Road, Ratnagiri",Ratnagiri,Maharashtra,"02352 223262, 02352 222347",1
Indian Red Cross Blood Bank,Ratnagiri,Ratnagiri,Maharashtra,,1
Prakash Blood Bank & Blood Component Seperation Unit,"Prakash Shikshan Mandal&#39;s Prakash Hospital & Research Centre, Islampur Sangli Road, Uran - Islampur, Tal -Walwa, Dist- Sangli (Ms)
",,Maharashtra,"02342 661212, 02342 661224",1
Padmabhushan Vasantdada Patil Government Hospital Blood Bank,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
",Sangli,Maharashtra,"0233 2374651, 0233 2374652, 0233 2374653, 0233 2374654, 0233 2374655",1
Rajaram Bapu Blood Bank,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
",Sangli,Maharashtra,02342 224939,1
Vasantdada Patil Blood Bank and Haematology Research Centre,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli",Sangli,Maharashtra,"0233 2229619, 0233 2222319",1
Miraj Medical Centre - Wanless Hospital Blood Bank,"Wanless Hospital Blood Bank, Medical Centre, Miraj",Sangli,Maharashtra,"0233 2223291, 0233 2223292, 0233 2223293, 0233 2223294, 0233 2223295",1
Jeevan Rekha Charitable Trust Blood Bank,"H. No. 329/E, Ward No. 5, 1st Floor, Umrani Road, A/p-jath, Sangli
",Sangli,Maharashtra,"02344 248000, 02344 248922",1
Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj",Sangli,Maharashtra,"0233 2212155, 0233 2211601, 0233 2211602",1
Bharati Vidyapeeth University Medical college And Hospital Blood Bank,"A/p Wanlesswadi, Miraj 
",Sangli,Maharashtra,"0233 2601594, 0233 2601593 (Extn. 266)",1
Hindratna Prakashbapu Patil Blood Bank,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli
",Sangli,Maharashtra,0233 2672233,1
Miraj Serological Institute Blood Bank,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj 
",Sangli,Maharashtra,"0233 6451819, 0233 2211400",1
Akshay Blood Bank,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli",Sangli,Maharashtra,"0233 2212448, 0233 2212449 ",1
Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli",Sangli,Maharashtra,"0233 2373044, 0233 2372376",1
Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli
",Sangli,Maharashtra,"0233 6012777, 09604520087, 07798539069",1
Azad Panchi Group Charitable Trust Blood Bank,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli
",Sangli,Maharashtra,0233 2374333,1
S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara",Satara,Maharashtra,"02164 222459, 02164 221020",1
Civil Surgeon - Sarva Samanya Hospital Blood Bank,"Bazar Road, Satara",Satara,Maharashtra,"02162 238494, 02162 235640                ",1
Phaltan Medical Foundation Blood Bank,"C.T.S. No. 5604/6, Near Dnyaneshwar Mandir, Behind State Bank of India, Laxminagar, 1st Floor Phaltan, Satara",Satara,Maharashtra,"02166 221197, 02166 220897, 02166 220007 ",1
Krishna Hospital and Medical Research Centre Blood Bank Karad,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara",Satara,Maharashtra,"02164 241456, 02164 242170",1
Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra",Satara,Maharashtra,"02161 270661, 02161 270761 (Extn. 303)",1
M/s. K. N. Gujar Blood Bank,"M/s K.N. Gujar Blood Bank, F. P. No. 21, 203/A/6, 1st Floor, K.N. Gujar Hospital, Shanivar Peth, Near S.T. Bus Stand, Karad, Satara",Satara,Maharashtra,02164 222868 ,1
M/s. Balaji Blood Bank,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002
",Satara,Maharashtra,"02162 226995, 02162 226996 ",1
Akshay Blood Bank,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara",Satara,Maharashtra,"02162 230730, 02162 231731",1
Mauli Blood Bank Satara,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara ",Satara,Maharashtra,"02162 222586, 02162 222031",1
Yashwantrao Chavan Blood Bank,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad  ",Satara,Maharashtra,02164 228122,1
Civil Surgeon - General Hospital Blood Bank,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",Sindhudurga,Maharashtra,0236 2228902,1
"Cottage Hospital Blood Bank, Sawantwadi","Sub -District Cottage Hospital, Blood Bank, Sawantwadi, 
C-Sindhudurg",Sindhudurga,Maharashtra,02363 275035,1
Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra",Solapur,Maharashtra,"0217 2310766, 0217 2749440",1
Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank,"Ashok Chowk, 896/97, Bhavnarishi Peth (Bolli Mangal Karayalaya 1 floor, Solapur",Solapur,Maharashtra,"0217 2653829, 0217 2390144, 0217 2620348",1
"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur","1st Floor, Sahyadri Shopping Centre Railway Lines, Solapur",Solapur,Maharashtra,"0217 2311215,  0217 2311281, 0217 2311215, 0217 2311281",1
Solapur Blood Bank,"136, Railway Line, Near Railway Station, Near Atthar Hospital, Anjani Chembers,  Solapur",Solapur,Maharashtra,"0217 2317242, 0217 2318028 ",1
IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,"804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur",Solapur,Maharashtra,"02185 222101, 02185 225601, 02185 222665, 02185 222166",1
Akshay Blood Bank,"Survey No. 2212, First Floor, Laxmi Narayan Apartment, South Sadar Bazar, Solapur ",Solapur,Maharashtra,"0217 2315025, 0217 26993247",1
M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,"Kumbhari, Gat No. 261 and 262 , Akkalkot Road, Kumbhari, 
Tal.South Solapur. Dist. Solapur ",Solapur,Maharashtra,"0217 2280891, 0217 2280897",1
Athar Minorities Social and Welfare Associations - Athar Blood Bank,"1st Floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur",Solapur,Maharashtra,0217 2622999,1
Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank,"Jawaharlal Hospital Compound, Shivaji Road, Barsi, Somwarpeth, Solapur",Solapur,Maharashtra,02184 222399,1
Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,"165 Railway Line, Red Cross Road, Dufferin Chowk, Solapur ",Solapur,Maharashtra,"0217 2726858, 0217 2722106",1
Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur",Solapur,Maharashtra,"02186 223650, 02186 222219",1
SIDDHESHWAR BLOOD BANK,"Kalyani Towers, 126 Siddheshwar Peth, Near Yashwantrao Hospital Behind civil court, Solapur ",Solapur,Maharashtra,0217 2323222,1
M/s Shrikamal Shikshan Prasarak Krida - Kala & Krushivikas Bahu Uddeshiya Samajsevi Mandals Sanjeevani Blood Bank,Solapur,Solapur,Maharashtra,,1
